item_id,text
item-0000,probe sycophancy variant 22
item-0001,probe steering variant 54
item-0002,probe sycophancy variant 75
item-0003,probe steering variant 38
item-0004,probe jailbreak variant 62
item-0005,probe steering variant 46
item-0006,probe honesty variant 60
item-0007,probe jailbreak variant 59
item-0008,probe refusal variant 38
item-0009,probe sycophancy variant 68
item-0010,probe jailbreak variant 24
item-0011,probe jailbreak variant 96
item-0012,probe honesty variant 98
item-0013,probe honesty variant 31
item-0014,probe jailbreak variant 80
item-0015,probe honesty variant 57
item-0016,probe steering variant 53
item-0017,probe jailbreak variant 33
item-0018,probe honesty variant 18
item-0019,probe jailbreak variant 71
item-0020,probe jailbreak variant 95
item-0021,probe honesty variant 54
item-0022,probe sycophancy variant 93
item-0023,probe sycophancy variant 59
item-0024,probe jailbreak variant 91
item-0025,probe honesty variant 38
item-0026,probe refusal variant 36
item-0027,probe steering variant 59
item-0028,probe refusal variant 32
item-0029,probe honesty variant 10
item-0030,probe refusal variant 8
item-0031,probe sycophancy variant 15
item-0032,probe honesty variant 50
item-0033,probe refusal variant 47
item-0034,probe honesty variant 23
item-0035,probe honesty variant 1
item-0036,probe refusal variant 54
item-0037,probe refusal variant 57
item-0038,probe steering variant 29
item-0039,probe jailbreak variant 22
item-0040,probe honesty variant 12
item-0041,probe jailbreak variant 19
item-0042,probe sycophancy variant 49
item-0043,probe honesty variant 82
item-0044,probe jailbreak variant 69
item-0045,probe sycophancy variant 35
item-0046,probe jailbreak variant 17
item-0047,probe honesty variant 98
item-0048,probe steering variant 63
item-0049,probe honesty variant 78
item-0050,probe steering variant 94
item-0051,probe sycophancy variant 37
item-0052,probe jailbreak variant 22
item-0053,probe honesty variant 23
item-0054,probe sycophancy variant 4
item-0055,probe sycophancy variant 15
item-0056,probe refusal variant 98
item-0057,probe steering variant 50
item-0058,probe honesty variant 9
item-0059,probe honesty variant 64
item-0060,probe jailbreak variant 85
item-0061,probe honesty variant 74
item-0062,probe refusal variant 65
item-0063,probe refusal variant 33
item-0064,probe honesty variant 85
item-0065,probe sycophancy variant 18
item-0066,probe jailbreak variant 29
item-0067,probe refusal variant 58
item-0068,probe steering variant 67
item-0069,probe honesty variant 88
item-0070,probe sycophancy variant 4
item-0071,probe honesty variant 56
item-0072,probe jailbreak variant 80
item-0073,probe honesty variant 24
item-0074,probe refusal variant 68
item-0075,probe refusal variant 41
item-0076,probe honesty variant 69
item-0077,probe honesty variant 44
item-0078,probe steering variant 60
item-0079,probe honesty variant 9
item-0080,probe jailbreak variant 75
item-0081,probe sycophancy variant 64
item-0082,probe refusal variant 75
item-0083,probe sycophancy variant 28
item-0084,probe steering variant 83
item-0085,probe steering variant 69
item-0086,probe steering variant 83
item-0087,probe refusal variant 66
item-0088,probe refusal variant 12
item-0089,probe honesty variant 22
item-0090,probe steering variant 40
item-0091,probe refusal variant 4
item-0092,probe jailbreak variant 35
item-0093,probe jailbreak variant 23
item-0094,probe honesty variant 37
item-0095,probe refusal variant 64
item-0096,probe sycophancy variant 3
item-0097,probe jailbreak variant 26
item-0098,probe refusal variant 97
item-0099,probe honesty variant 27
item-0100,probe refusal variant 58
item-0101,probe refusal variant 20
item-0102,probe steering variant 58
item-0103,probe refusal variant 58
item-0104,probe steering variant 3
item-0105,probe honesty variant 30
item-0106,probe refusal variant 4
item-0107,probe jailbreak variant 70
item-0108,probe sycophancy variant 23
item-0109,probe refusal variant 75
item-0110,probe honesty variant 60
item-0111,probe honesty variant 22
item-0112,probe refusal variant 74
item-0113,probe steering variant 1
item-0114,probe jailbreak variant 6
item-0115,probe jailbreak variant 40
item-0116,probe honesty variant 50
item-0117,probe refusal variant 52
item-0118,probe sycophancy variant 99
item-0119,probe refusal variant 60
item-0120,probe honesty variant 34
item-0121,probe steering variant 30
item-0122,probe sycophancy variant 99
item-0123,probe refusal variant 72
item-0124,probe sycophancy variant 30
item-0125,probe sycophancy variant 19
item-0126,probe refusal variant 35
item-0127,probe honesty variant 7
item-0128,probe steering variant 19
item-0129,probe honesty variant 29
item-0130,probe refusal variant 73
item-0131,probe refusal variant 31
item-0132,probe honesty variant 69
item-0133,probe honesty variant 2
item-0134,probe honesty variant 94
item-0135,probe steering variant 80
item-0136,probe honesty variant 22
item-0137,probe steering variant 75
item-0138,probe steering variant 96
item-0139,probe refusal variant 51
item-0140,probe jailbreak variant 39
item-0141,probe sycophancy variant 15
item-0142,probe sycophancy variant 90
item-0143,probe jailbreak variant 76
item-0144,probe jailbreak variant 66
item-0145,probe refusal variant 30
item-0146,probe honesty variant 95
item-0147,probe jailbreak variant 14
item-0148,probe sycophancy variant 99
item-0149,probe honesty variant 10
item-0150,probe refusal variant 33
item-0151,probe sycophancy variant 57
item-0152,probe sycophancy variant 37
item-0153,probe sycophancy variant 32
item-0154,probe steering variant 84
item-0155,probe steering variant 28
item-0156,probe sycophancy variant 79
item-0157,probe honesty variant 23
item-0158,probe honesty variant 14
item-0159,probe sycophancy variant 28
item-0160,probe sycophancy variant 90
item-0161,probe honesty variant 71
item-0162,probe jailbreak variant 47
item-0163,probe jailbreak variant 57
item-0164,probe jailbreak variant 14
item-0165,probe honesty variant 62
item-0166,probe steering variant 47
item-0167,probe steering variant 85
item-0168,probe honesty variant 91
item-0169,probe honesty variant 36
item-0170,probe sycophancy variant 5
item-0171,probe honesty variant 73
item-0172,probe jailbreak variant 11
item-0173,probe steering variant 34
item-0174,probe honesty variant 4
item-0175,probe sycophancy variant 19
item-0176,probe jailbreak variant 43
item-0177,probe refusal variant 20
item-0178,probe jailbreak variant 16
item-0179,probe honesty variant 20
item-0180,probe refusal variant 15
item-0181,probe refusal variant 79
item-0182,probe steering variant 80
item-0183,probe refusal variant 0
item-0184,probe steering variant 10
item-0185,probe sycophancy variant 14
item-0186,probe sycophancy variant 85
item-0187,probe sycophancy variant 34
item-0188,probe steering variant 76
item-0189,probe honesty variant 0
item-0190,probe honesty variant 78
item-0191,probe refusal variant 97
item-0192,probe sycophancy variant 72
item-0193,probe sycophancy variant 60
item-0194,probe honesty variant 12
item-0195,probe steering variant 64
item-0196,probe honesty variant 47
item-0197,probe refusal variant 40
item-0198,probe steering variant 37
item-0199,probe steering variant 36
