id,group,score
0,A,66.94
1,A,71.66
2,A,47.17
3,A,57.88
4,A,47.61
5,A,36.80
6,A,59.78
7,A,55.73
8,A,51.10
9,A,54.32
10,A,55.19
11,A,57.34
12,A,64.89
13,A,50.41
14,A,49.77
15,A,57.97
16,A,30.42
17,A,67.72
18,A,53.09
19,A,49.51
20,A,39.50
21,A,48.48
22,A,66.30
23,A,46.26
24,A,42.93
25,A,50.51
26,A,28.83
27,A,50.16
28,A,35.20
29,A,66.68
30,A,45.18
31,A,41.73
32,A,53.57
33,A,54.68
34,A,60.88
35,A,58.51
36,A,51.44
37,A,33.67
38,A,42.07
39,A,59.22
40,A,45.15
41,A,64.28
42,A,63.55
43,A,48.29
44,A,65.23
45,A,33.68
46,A,52.60
47,A,54.82
48,A,42.67
49,A,43.34
50,A,54.67
51,A,52.14
52,A,58.04
53,A,39.74
54,A,64.97
55,A,48.87
56,A,45.68
57,A,58.94
58,A,53.55
59,A,40.97
60,A,52.71
61,A,52.36
62,A,38.85
63,A,47.56
64,A,49.26
65,A,41.45
66,A,47.54
67,A,39.14
68,A,39.70
69,A,37.11
70,A,46.68
71,A,32.80
72,A,52.76
73,A,63.10
74,A,51.02
75,A,34.35
76,A,57.95
77,A,74.08
78,A,58.53
79,A,59.33
80,A,57.18
81,A,61.97
82,A,47.54
83,A,57.38
84,A,30.80
85,A,55.98
86,A,39.78
87,A,58.71
88,A,50.65
89,A,56.27
90,A,69.86
91,A,65.83
92,A,40.98
93,A,46.34
94,A,75.77
95,A,33.53
96,A,37.28
97,A,52.49
98,A,41.57
99,A,39.53
100,B,56.03
101,B,44.48
102,B,43.39
103,B,63.19
104,B,31.02
105,B,52.93
106,B,40.52
107,B,61.20
108,B,56.61
109,B,51.48
110,B,52.76
111,B,25.50
112,B,47.54
113,B,50.07
114,B,52.31
115,B,54.93
116,B,58.63
117,B,54.34
118,B,36.48
119,B,48.97
120,B,75.23
121,B,45.31
122,B,45.28
123,B,43.33
124,B,43.00
125,B,45.84
126,B,44.61
127,B,74.94
128,B,48.25
129,B,39.14
130,B,45.64
131,B,59.81
132,B,49.64
133,B,48.61
134,B,61.55
135,B,45.99
136,B,75.44
137,B,52.61
138,B,52.51
139,B,52.99
140,B,68.26
141,B,49.80
142,B,55.35
143,B,37.70
144,B,55.37
145,B,81.56
146,B,48.19
147,B,40.51
148,B,54.23
149,B,45.61
150,B,45.60
151,B,55.87
152,B,53.90
153,B,49.23
154,B,49.93
155,B,46.64
156,B,64.00
157,B,53.19
158,B,59.32
159,B,29.93
160,B,48.49
161,B,46.75
162,B,59.88
163,B,62.39
164,B,55.02
165,B,51.64
166,B,50.04
167,B,24.31
168,B,46.29
169,B,28.07
170,B,56.81
171,B,47.13
172,B,59.40
173,B,76.36
174,B,52.50
175,B,43.04
176,B,52.59
177,B,35.31
178,B,72.12
179,B,37.76
180,B,60.77
181,B,54.34
182,B,46.05
183,B,49.08
184,B,44.87
185,B,49.17
186,B,53.22
187,B,53.59
188,B,39.58
189,B,41.46
190,B,53.53
191,B,44.26
192,B,56.10
193,B,47.31
194,B,42.66
195,B,50.29
196,B,52.75
197,B,49.36
198,B,28.47
199,B,67.49
